id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata,
4,1.2782914e-16,1.1661337e-15,8.3839884e-14,0.002048234,1.9245837e-20,5.4589507e-17,8.14839e-14,1.8873756e-25,1.8166405e-21,1.7888074e-17,4.471282e-10,5.316125e-24,3.7057806e-08,3.479229e-22,2.6380847e-32,9.090329e-28,1.4000625e-15,7.724001e-18,3.2298874e-14,1.0083538e-08,2.9163903e-07,3.0753651e-16,2.6085839e-17,1.8032183e-14,6.2956835e-19,1.8591531e-14,2.7529332e-10,7.280754e-12,4.1778497e-17,3.0041372e-15,6.6543843e-20,2.2886817e-07,1.6486585e-14,1.6207635e-17,8.629394e-14,1.5843224e-19,7.361275e-10,5.2405825e-30,3.704964e-21,4.1226223e-20,7.2638035e-27,1.5848423e-19,3.341965e-20,1.5193814e-09,2.733592e-19,2.0355206e-12,9.931408e-06,8.8188226e-20,1.2451958e-27,2.5905468e-16,2.3396963e-07,0.99706656,1.436182e-14,1.3076848e-12,1.7628436e-08,8.082102e-05,1.7988121e-09,1.1039976e-22,0.00010383841,1.2721016e-12,4.3474294e-08,8.4575255e-12,3.7989945e-13,6.0442085e-26,2.759635e-07,2.486671e-05,1.7822648e-21,3.871154e-24,2.9865742e-08,2.4035842e-06,1.0064946e-14,1.0267892e-20,2.2175356e-25,1.1588958e-16,0.00040242754,7.0166346e-15,3.1431582e-09,8.7691485e-18,7.689134e-18,0.00010256408,1.8015118e-08,1.1288117e-08,5.9395516e-10,3.938219e-12,0.0001560596,1.0951425e-08,1.3042268e-13,1.0125592e-08,2.7276562e-18,1.1898742e-21,5.104375e-11,4.1013428e-17,5.603715e-16,1.1566977e-06,3.166777e-13,7.4202876e-24,2.4745123e-08,3.944678e-15,4.630728e-08,
7,1.9462219e-26,3.3969536e-16,3.722286e-13,7.485722e-10,5.3879007e-24,1.3447839e-13,6.4557447e-13,2.238486e-22,1.9487543e-27,1.3037236e-19,4.6881623e-18,6.595787e-22,6.385744e-13,4.699663e-16,6.4473066e-27,3.556883e-23,2.6320861e-20,9.1046314e-17,6.762674e-20,4.3216645e-05,3.3378253e-17,3.2889725e-18,9.021858e-18,3.46343e-20,5.478835e-21,4.5633233e-19,3.3769673e-08,1.5702314e-16,7.8255593e-13,4.5875996e-20,1.094945e-15,1.6075023e-12,2.0135708e-18,5.194319e-16,3.8228106e-16,5.7259027e-24,4.3113357e-09,9.460575e-38,4.5323342e-21,5.508798e-23,1.7264382e-23,2.7294117e-18,1.8253887e-16,4.103825e-10,3.5539146e-22,4.1676697e-11,5.180923e-06,3.6602238e-10,1.7192558e-22,2.7982205e-20,0.99946433,1.917046e-06,7.514193e-09,5.48207e-06,2.5421546e-06,0.0002483221,2.9542274e-05,8.924749e-25,8.4251933e-10,3.0827912e-19,3.42987e-09,5.693975e-15,2.399045e-15,2.3150058e-20,2.8697463e-16,2.4326461e-14,4.041869e-16,9.456647e-22,3.3222666e-08,2.8995735e-06,1.7404423e-17,9.871909e-24,2.9969824e-28,5.88818e-16,1.0961296e-06,3.380949e-16,9.367657e-11,1.2277593e-15,8.4294104e-16,0.00017727123,2.3417997e-06,3.6849755e-12,5.5203903e-15,1.389452e-05,5.0027968e-11,9.6947436e-11,3.2216099e-09,1.6487244e-06,8.6151284e-17,8.105203e-27,1.3081076e-19,2.5440208e-20,2.3528419e-14,1.4013384e-14,6.72116e-14,1.14281364e-23,1.0036592e-08,3.6248939e-22,2.8094505e-07,
9,3.3354677e-11,0.9994356,6.455464e-12,2.5983092e-22,0.0005155714,6.255854e-14,2.7542795e-17,1.9877373e-14,1.8302097e-05,4.95188e-12,5.844189e-11,2.3524865e-07,2.7016932e-20,5.3689925e-13,6.4217807e-15,1.3876639e-37,2.8393622e-05,6.4576936e-23,1.3178508e-20,1.6798689e-06,2.9947288e-18,5.6316426e-30,0.0,0.0,2.9182153e-38,2.612403e-29,1.6661197e-07,9.710231e-26,1.0705519e-34,0.0,3.1489044e-34,1.0358037e-18,2.8668104e-22,7.7465266e-16,5.7874164e-26,5.1550767e-08,4.6254352e-30,0.0,0.0,3.64722e-36,1.7108709e-30,1.1581526e-18,4.831184e-24,1.1015629e-21,3.7702549e-19,2.2667266e-22,1.3623563e-22,1.2888483e-13,4.7303945e-11,5.397413e-13,2.9847828e-26,5.3909583e-22,9.698378e-35,6.474355e-27,1.8835395e-21,2.1851582e-31,4.9615726e-15,4.238399e-33,1.1060465e-15,1.0705764e-19,6.897561e-22,4.5487484e-27,3.24019e-31,1.3032572e-21,2.2386896e-27,7.992606e-17,4.636162e-28,1.0052948e-35,1.4442756e-21,4.669163e-18,1.5265923e-31,1.760422e-19,4.492948e-32,9.635257e-14,8.3368e-12,3.0063207e-20,5.936084e-19,6.179387e-25,1.3601299e-09,2.4345262e-21,1.5557514e-09,1.9480834e-25,1.381038e-20,6.3867444e-16,6.294039e-12,2.2269467e-17,4.014586e-23,4.3558523e-21,1.3858336e-22,8.93063e-16,5.713909e-25,2.9187814e-24,5.576957e-11,3.1767886e-18,3.3060674e-10,1.33259905e-17,6.992792e-33,6.161318e-30,5.4132707e-09,
12,4.4769448e-20,2.3969267e-06,1.4072346e-20,3.532593e-14,1.3118434e-18,1.3868551e-21,1.4487154e-09,5.9799184e-14,9.74438e-09,4.7681136e-15,1.4259734e-15,5.34095e-06,8.187273e-06,0.12671681,9.831401e-06,2.3788197e-29,1.0708959e-10,9.951746e-07,6.52038e-20,0.8223392,1.3864594e-12,8.197458e-31,8.493836e-20,2.3429788e-34,1.9528841e-31,5.0882574e-20,0.00036312483,9.6445505e-20,2.7449997e-30,5.3617644e-33,3.958877e-32,1.1281066e-15,7.9092575e-25,3.5675556e-16,6.4491665e-26,3.0392663e-19,5.7673525e-14,0.0,3.38354e-36,9.243835e-38,4.5359923e-36,4.030945e-08,4.1389622e-29,3.5613688e-16,6.979174e-18,4.931632e-13,5.177896e-13,0.050081607,1.9453718e-11,1.4976774e-15,1.1782662e-14,3.582301e-14,5.573293e-17,5.653518e-13,5.3712047e-17,7.606849e-15,5.112889e-13,5.6197986e-22,1.8874795e-08,1.2550942e-16,2.352897e-09,4.462329e-29,1.4526195e-13,5.6538886e-19,6.1913645e-28,8.871017e-14,2.3521683e-18,1.1451469e-29,5.1588492e-21,8.2191265e-16,8.22777e-27,3.7532714e-23,8.397795e-35,1.4095195e-18,2.3863788e-07,2.0818116e-22,9.78391e-22,8.366972e-12,2.7776212e-08,3.9794113e-06,0.00024558447,6.058239e-21,3.6438464e-18,1.5530863e-07,6.855733e-11,1.7704824e-13,1.5381254e-16,1.3401474e-12,2.1191198e-20,9.2409726e-17,1.2176309e-30,5.5322197e-10,3.101406e-14,1.3077899e-07,0.0001897766,1.6370821e-09,1.2937692e-17,1.8577599e-19,3.2544882e-05,
13,5.7605044e-21,6.455753e-14,1.5927994e-32,1.7789228e-26,4.4461992e-20,1.8272086e-29,1.1705e-22,1.9866026e-23,2.4445582e-10,7.067708e-18,4.5876116e-22,0.0001721171,3.6768916e-17,3.952438e-11,0.99981123,0.0,2.9177072e-09,4.6954772e-20,2.4702428e-18,2.1060638e-13,3.2982586e-17,0.0,2.508788e-34,0.0,4.1183663e-38,2.8343426e-32,1.8392451e-09,4.561616e-27,0.0,0.0,0.0,1.51823085e-33,0.0,2.5937827e-34,0.0,1.4005994e-16,1.0237444e-36,0.0,0.0,0.0,0.0,5.832242e-18,0.0,9.661645e-22,4.484595e-27,2.76331e-35,1.15096766e-32,1.7032781e-11,5.445396e-12,5.106811e-15,5.474867e-35,4.8358828e-29,0.0,3.8870752e-29,6.699553e-37,7.319984e-34,4.4790497e-22,0.0,1.8051785e-20,5.5119614e-19,2.4298931e-20,0.0,2.02885e-28,4.420854e-17,0.0,6.762878e-28,5.607051e-28,0.0,0.0,2.844849e-25,1.1756108e-36,5.902344e-17,0.0,7.82719e-23,6.1385644e-18,1.19384404e-32,5.3938474e-30,4.578969e-17,2.639556e-13,6.561202e-23,7.767644e-11,3.4892743e-36,6.7941573e-23,1.2764688e-21,1.2453973e-21,5.783353e-23,3.3309538e-26,2.0849028e-26,7.681014e-30,7.676064e-15,0.0,3.4517317e-12,5.6585454e-24,1.51389e-11,7.0759815e-13,1.6632448e-05,7.935355e-32,8.481281e-22,6.912306e-20,
16,1.4270482e-18,4.5381458e-17,5.593006e-12,0.9912038,2.964517e-25,3.10438e-19,2.9006461e-15,3.3561824e-14,9.539482e-23,3.75793e-21,2.080756e-06,8.687386e-16,3.6758344e-08,3.3835266e-13,9.467876e-24,1.1692736e-31,8.809494e-16,2.288514e-09,9.742216e-10,1.4404332e-08,4.1914094e-14,1.5421475e-11,1.9161113e-17,1.4599118e-22,4.655274e-17,8.389104e-15,6.920469e-05,5.3906426e-09,2.1404314e-18,2.6304901e-23,6.0991327e-16,5.1543967e-08,3.6124553e-18,1.3772541e-21,6.574848e-14,6.5662122e-18,1.5456105e-11,0.0,6.1394416e-25,1.6905248e-23,1.16319774e-29,5.290415e-16,3.3226127e-16,3.655332e-06,2.2950475e-14,7.464413e-15,3.6417292e-05,6.26239e-19,3.486326e-21,9.851834e-09,5.008958e-09,2.0311718e-06,4.3170243e-07,4.216081e-10,2.8496702e-14,1.5677016e-09,6.360434e-09,4.3558365e-20,0.0014433521,6.3146096e-20,6.3774505e-06,2.7046971e-17,1.553647e-07,4.9645284e-21,4.57804e-14,1.1124936e-10,6.005781e-11,2.5120095e-19,3.0488852e-08,1.0361975e-05,4.425656e-23,1.040082e-21,1.4844483e-28,5.8775754e-08,1.8912987e-08,1.1358824e-09,3.5751773e-12,1.9273994e-11,3.7025506e-20,3.0075094e-07,4.0163446e-09,6.2002005e-06,9.983765e-15,5.9422126e-07,6.249144e-12,3.6413205e-08,0.0070597166,9.347405e-09,5.02054e-13,3.0928762e-13,2.1648096e-12,8.852917e-09,3.1484884e-08,3.2738822e-06,2.863409e-08,3.359749e-11,3.6238347e-07,1.9338835e-08,0.00015132251,
19,2.0986479e-16,6.812562e-16,7.2552516e-13,0.9951584,3.6099754e-24,2.342181e-19,2.7479797e-17,1.315293e-20,7.745157e-24,7.1639334e-20,3.958037e-08,1.835384e-21,6.9486424e-07,2.5537775e-18,1.23173414e-29,2.0583535e-32,8.019473e-17,6.7792007e-15,3.4879818e-12,2.646505e-09,8.83507e-11,1.4581461e-11,3.0109916e-18,3.91375e-17,3.5570996e-17,8.091263e-15,2.8169014e-08,4.480723e-13,1.0829391e-18,3.8922005e-20,2.4962948e-18,7.8915804e-08,1.2917563e-16,9.509732e-20,7.2466803e-16,5.960191e-21,5.5792704e-11,2.0985325e-34,5.896232e-23,8.080566e-21,5.388959e-29,6.2880355e-15,7.796897e-21,4.712098e-08,3.2505917e-20,2.9607735e-14,0.0042305035,5.8790404e-19,1.2472803e-22,2.0363622e-12,1.0246961e-07,0.00032302222,2.3125521e-10,6.2914975e-09,4.799627e-10,8.9616657e-07,1.5578795e-08,1.5544869e-23,8.556686e-06,1.9009881e-17,1.8818453e-07,5.6144737e-16,1.8827748e-11,1.7327311e-26,2.8731377e-09,3.1584016e-06,2.8187508e-19,3.0090762e-24,4.6880487e-07,1.6114276e-07,1.358978e-19,2.0898218e-22,5.397865e-30,6.051174e-14,2.0024813e-06,1.4582023e-10,3.3657066e-10,1.0265517e-16,2.464396e-21,7.570497e-07,3.8240133e-10,9.887989e-09,4.773841e-15,1.0695331e-10,3.661881e-10,5.2557284e-06,3.318072e-07,2.1324576e-08,9.6737325e-18,8.564822e-20,6.044579e-13,1.7556404e-13,4.34439e-13,1.1017062e-07,1.2743484e-10,4.658374e-19,8.4853774e-08,4.743976e-12,0.00026515545,
23,0.0,8.21308e-27,1.376522e-10,7.151169e-15,4.4190593e-28,3.5346902e-06,2.0132297e-10,0.0,0.0,5.5763043e-24,2.4837759e-24,1.981375e-36,1.3331523e-30,1.2877634e-34,0.0,9.573372e-08,5.8580614e-26,4.714829e-34,5.2262553e-25,6.987395e-14,7.015193e-19,2.153116e-12,1.2199887e-07,5.2485512e-14,1.753011e-11,5.4049504e-11,8.908082e-18,2.5647477e-08,0.998965,1.9823628e-05,4.257291e-08,9.631249e-15,2.1396506e-20,2.8678517e-17,4.979512e-07,5.6208474e-19,2.7451222e-10,3.7519428e-18,9.158696e-13,4.858361e-13,1.7262036e-09,0.0,8.067681e-11,1.8297989e-08,1.0669679e-16,3.3603917e-22,6.823441e-20,2.3419108e-27,0.0,6.497925e-34,1.8441422e-09,2.8650177e-07,1.5111958e-22,2.2106676e-31,2.4535186e-13,1.3681739e-07,3.0812475e-10,4.847401e-17,6.692499e-16,4.8455527e-13,1.5915235e-18,4.361065e-06,1.0121401e-17,3.708797e-18,2.1519502e-23,5.537777e-20,5.562584e-15,7.768817e-07,3.5146545e-11,5.355019e-07,0.00061345124,2.1535762e-23,5.998481e-07,4.1077305e-11,2.8251229e-18,4.1519113e-34,7.321349e-09,1.6049636e-11,2.1286138e-14,6.8949664e-12,1.2975035e-13,4.258186e-11,6.128562e-07,3.465358e-21,4.5106117e-13,5.3424654e-24,1.9583717e-23,0.0003868258,1.3120242e-06,1.0464821e-32,2.0668334e-14,4.6912753e-33,1.9894239e-23,1.5244931e-18,2.6872245e-29,3.7235508e-35,2.0066666e-06,1.03642695e-17,4.5673705e-16,
24,5.0599447e-12,4.4117305e-06,1.8717845e-09,2.769435e-15,3.022677e-06,2.0069111e-12,4.2693536e-08,1.9405811e-23,1.4925276e-07,1.1253591e-11,4.012414e-09,2.1122626e-19,3.2370394e-18,2.7152927e-20,4.2075007e-28,4.3037068e-24,3.1667515e-09,7.698433e-22,1.532675e-22,1.9041461e-07,3.5222186e-08,1.4705404e-20,5.183776e-26,7.909536e-25,1.02458655e-30,6.5590166e-16,1.6078922e-13,4.522706e-15,4.2448787e-24,3.4374718e-19,3.974916e-27,4.7050788e-05,1.8390424e-10,7.0810955e-08,4.722848e-13,2.2878885e-09,4.6896466e-16,1.0711391e-30,2.1025326e-29,2.2866736e-18,5.500128e-20,1.6323426e-26,3.5448e-21,1.7431826e-19,1.9045028e-12,2.453709e-12,3.7040056e-15,9.675283e-22,4.5063478e-29,2.2678381e-20,1.7586096e-21,5.593515e-08,2.3184736e-30,7.326741e-33,1.9687236e-13,2.469775e-21,8.708752e-19,1.2102163e-18,1.099779e-07,8.2870044e-10,7.0385966e-16,3.4456318e-15,1.2765753e-20,1.7769464e-27,1.3804219e-14,4.3139494e-06,4.3935242e-27,5.7539803e-27,2.6665229e-14,3.6278497e-15,5.764222e-18,1.01484646e-22,2.966136e-19,1.1838074e-16,4.2431e-06,3.9394025e-24,3.365377e-15,1.0731107e-22,5.0274394e-08,2.8457472e-10,1.2519527e-10,4.5839674e-15,5.3457766e-11,1.9237139e-19,0.9999361,8.4914465e-20,2.5043753e-28,3.845697e-16,6.247277e-17,2.1506145e-19,4.6835522e-15,4.3054613e-25,4.550015e-14,4.83806e-12,1.504155e-14,3.9428825e-28,2.7441218e-23,6.745366e-24,1.0281447e-09,
28,1.3962871e-11,0.001522967,1.8513035e-16,5.0375403e-20,1.6138607e-09,3.3089212e-20,9.133037e-16,2.2385283e-11,0.9983839,1.2835246e-17,7.65844e-08,1.0246992e-07,2.2198245e-15,2.5615474e-10,2.2872478e-14,1.3222952e-38,7.8016694e-07,3.242043e-17,2.3351845e-23,3.352539e-07,2.4807198e-18,6.786702e-33,3.6706807e-37,0.0,0.0,1.1582428e-30,4.827727e-10,1.156568e-25,0.0,0.0,1.263952e-34,3.580246e-17,1.2131821e-19,1.1529203e-18,4.6162407e-27,1.4715727e-11,1.2998869e-27,0.0,0.0,0.0,6.7657207e-38,2.2532328e-16,1.3401794e-25,3.4247886e-25,6.0145685e-17,3.852576e-18,6.594717e-22,1.5645421e-16,2.0396323e-13,2.3523457e-12,1.1969632e-28,2.6180503e-21,2.7671593e-32,1.356561e-26,1.1648649e-26,3.0289249e-30,2.9280451e-19,1.07658694e-29,2.497753e-12,1.8291564e-23,1.9889883e-22,3.044305e-32,9.139708e-28,7.250913e-25,7.026911e-26,2.991455e-16,8.153319e-26,9.650991e-35,1.12610265e-23,1.3895678e-19,1.4347639e-37,1.5491955e-24,1.5214382e-35,1.3170092e-16,1.4008285e-13,1.2121308e-21,1.3316587e-25,6.0916695e-24,1.4250402e-12,7.870061e-20,9.8805054e-11,1.2354568e-23,1.3358595e-20,3.1333966e-13,6.004938e-10,2.4593015e-19,9.36232e-25,4.2415423e-23,1.7144294e-25,2.2167369e-14,3.555244e-25,3.732059e-21,1.43780465e-11,2.8452026e-13,9.181706e-05,6.2003866e-15,4.608729e-34,4.2762476e-29,3.4314364e-11,
