id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.2193616e-06,6.6503276e-06,5.5028697e-05,0.00047339252,3.803201e-05,6.2984095e-06,9.908043e-06,2.6588526e-05,3.2588163e-05,2.4191347e-06,3.4410998e-05,1.983224e-05,3.753907e-06,7.844618e-07,1.7681188e-06,1.6333817e-06,9.489264e-07,3.0880787e-05,5.882025e-05,1.0152315e-05,4.2179534e-05,8.819171e-06,7.7757695e-06,2.2680428e-05,1.3243905e-05,1.0234575e-05,6.3315388e-06,3.645009e-05,8.196558e-06,2.9676357e-05,9.255476e-06,1.5000385e-05,1.8729759e-06,5.575985e-06,7.5103986e-07,8.4758125e-05,4.373074e-06,2.5116295e-05,1.7592893e-05,5.274793e-06,5.526992e-06,3.617588e-05,3.2298728e-06,2.3716691e-05,2.5763702e-05,8.0124636e-07,1.8266779e-05,8.080275e-07,2.182996e-06,1.3082109e-05,1.34092115e-05,0.99688596,2.9942134e-05,0.00011605043,1.8488872e-05,0.00010318875,2.2358889e-05,4.2891984e-06,3.1987733e-05,2.468156e-06,0.00024676265,2.5056412e-05,4.0230032e-05,3.2109558e-05,2.4431578e-05,5.771376e-05,2.7415275e-05,1.3454533e-05,3.9526327e-05,2.4071136e-05,4.9263913e-06,1.42521585e-05,6.2973822e-06,7.3762345e-07,4.3155254e-05,7.671595e-06,4.4464687e-05,8.644132e-06,2.589082e-05,0.000120793105,5.387508e-05,2.0482546e-06,1.2713809e-05,3.366703e-05,0.00021300773,2.5236188e-06,1.4724399e-05,2.27772e-06,1.7780116e-05,8.268305e-05,4.959202e-05,3.2474458e-05,1.2281068e-05,8.3740066e-05,2.9431378e-05,5.3897766e-06,7.713341e-07,5.145649e-06,1.0412653e-05
7,2.9082768e-05,1.4944792e-05,4.6195723e-06,2.2253897e-05,0.00021104228,3.8860503e-06,1.9188616e-05,1.6839458e-05,1.9776913e-05,3.416872e-06,2.1730635e-05,1.5475081e-05,1.617026e-05,1.0052193e-05,5.428306e-05,3.9179806e-05,2.0188434e-05,6.2834747e-06,3.0125132e-06,0.00012518994,9.1748325e-06,4.6345663e-06,0.00018164999,6.723342e-06,3.6687343e-06,7.1366903e-06,8.269347e-06,5.2345863e-06,4.390232e-05,5.10389e-06,7.977632e-05,2.318183e-05,2.7922904e-06,1.6462367e-05,9.804559e-06,4.7640977e-05,3.9734773e-06,5.0152967e-06,8.344225e-06,4.2048632e-05,9.859439e-06,7.063757e-06,2.0348064e-06,5.8159712e-06,2.571975e-05,7.168696e-06,0.00014643167,0.0010142344,4.517436e-05,6.3549055e-06,0.9959506,6.5672364e-05,2.5785828e-06,0.00020064795,6.541452e-05,1.9721709e-05,7.810777e-05,8.74283e-06,4.686488e-06,1.2661575e-06,3.885463e-05,5.7900186e-05,1.3345101e-05,3.4394664e-06,3.178738e-05,7.395151e-05,3.927494e-05,1.2947833e-05,4.1282117e-05,2.3079367e-05,4.4964036e-06,2.854842e-05,1.0695352e-05,2.1366338e-06,4.2570544e-05,1.5531192e-05,1.10954825e-05,1.638193e-05,7.470091e-06,7.945291e-06,2.7590197e-06,1.1907553e-05,9.610255e-06,7.661675e-05,1.7358796e-05,1.1591142e-05,8.231167e-05,0.0002566953,5.6433233e-05,4.0910754e-06,1.0088466e-05,6.59342e-06,1.2394548e-05,2.5859435e-06,1.3032767e-05,8.55542e-05,1.6957754e-06,8.4842685e-07,1.6569693e-05
9,3.4337016e-05,0.9815956,5.0086433e-05,0.00016620892,0.00020043594,7.510057e-05,0.00012424384,0.00023769737,0.0009099289,9.5692565e-05,0.0010395307,0.0019904436,0.00010375103,2.6215437e-05,0.00023227085,0.00036004503,0.0013626576,4.9387618e-05,5.8305715e-05,0.00014861165,7.974008e-05,1.8985556e-05,8.0210666e-05,4.854757e-05,2.717616e-05,0.00016719554,0.00011535563,1.1210358e-05,5.527955e-05,4.0856245e-05,1.2098941e-05,0.000268847,0.0002032263,0.00029951407,4.8071197e-05,0.0001142262,1.9186593e-05,0.00014099969,0.00013616554,0.00011115002,0.00011081884,0.0001936752,0.00011823229,9.871294e-05,7.809321e-05,6.607892e-05,8.08252e-05,0.00040946488,0.0007297552,8.542315e-05,0.00029810204,8.303304e-05,2.1775579e-05,0.00012999552,0.00018289643,5.2267944e-05,1.5134483e-05,7.030832e-05,0.00017826547,0.000109170694,2.679068e-05,0.00015596024,2.998789e-05,8.392636e-05,0.00013171413,8.0072634e-05,2.2444068e-05,0.00011851203,2.3418066e-05,0.00014125057,0.00011518358,0.00022143559,0.0003176456,0.00033118043,8.534604e-05,7.6156684e-05,2.4100358e-05,2.0883135e-05,2.3695467e-05,5.5951386e-05,0.0001606195,4.993029e-05,4.8722286e-05,0.00015698989,8.433001e-05,0.000109784385,0.00014739821,0.0005866743,0.00016115805,5.9374608e-05,0.00011197222,3.9412247e-05,0.00014072041,3.4473513e-05,0.00129687,0.00011787259,0.00027336684,5.7531164e-05,0.00030653845
12,0.00025323746,0.00012565454,6.619773e-05,4.274458e-05,0.00024545108,3.9045544e-06,7.868573e-06,7.5907833e-06,0.00010311947,8.558498e-05,7.369483e-05,3.449935e-05,0.0043233973,3.2559963e-06,7.643417e-05,0.00027173493,6.4996552e-06,1.6199077e-05,1.347726e-05,0.983579,2.4214689e-05,2.5619859e-06,0.00071780046,1.2149024e-05,5.8046207e-05,2.5833397e-05,3.759164e-05,0.00020286335,2.3925504e-05,8.690186e-06,8.444329e-05,2.8614988e-05,1.3886693e-05,7.5140015e-05,5.915117e-05,0.00013137236,3.936595e-05,7.328567e-05,2.775783e-05,1.3555012e-05,0.00010932996,5.825267e-05,1.3155195e-05,1.0429019e-05,7.878501e-06,3.617301e-05,1.0242102e-05,0.0026106313,9.1654976e-05,5.888801e-06,0.0010618418,4.2204796e-05,2.7172262e-05,4.7372094e-05,2.0616639e-05,0.00014991223,0.00015896556,7.974005e-05,5.673789e-06,1.6832964e-06,9.138977e-06,2.8432922e-05,3.999034e-05,0.00016877652,2.2499373e-05,1.3143175e-06,0.00018816823,0.00034779662,3.7528862e-06,6.073904e-05,2.4378183e-05,9.251167e-06,6.525471e-05,6.668572e-06,1.6069497e-06,9.092692e-06,8.875604e-05,0.00013298623,2.4579625e-05,0.00011353684,5.2445484e-05,7.0280206e-05,5.5014574e-05,0.00021607896,0.0001255101,0.00023184562,3.7855916e-05,5.2684627e-06,2.1938115e-05,1.2347171e-05,7.674828e-06,7.706047e-05,0.00019443648,1.6076388e-05,0.00090091996,0.0010197668,1.166897e-05,3.678841e-05,1.1772733e-05
13,1.6548416e-06,4.1997123e-06,1.2013069e-06,5.7964616e-07,3.87777e-06,2.9856744e-06,9.918667e-06,1.4797662e-06,1.8599976e-06,1.9153205e-05,5.4961533e-06,8.116803e-06,0.00012931356,6.767476e-07,0.9991549,1.8822127e-05,0.00010733114,1.8649613e-05,9.258052e-06,2.689349e-06,2.7845367e-06,3.336308e-06,3.4014586e-06,3.2731573e-06,1.4513691e-06,1.5579103e-06,1.85427e-06,1.0756816e-06,2.8883073e-07,1.0038429e-05,3.1022216e-06,1.2721467e-06,5.032592e-07,1.1407811e-06,1.7129938e-06,2.1844066e-07,1.4873654e-06,1.0680218e-05,6.486738e-06,0.00010139382,4.2029014e-06,5.6967053e-07,2.0498266e-05,1.0206395e-07,8.379222e-07,1.289882e-05,1.0675834e-06,2.323101e-05,1.1591034e-05,9.304975e-06,1.8777055e-05,2.6043637e-07,3.5134008e-06,4.3920318e-06,3.421516e-06,2.4155747e-06,7.4033132e-06,4.9599416e-06,1.5076453e-05,1.2623582e-05,7.2312573e-06,5.7203083e-06,1.522818e-05,8.959509e-07,2.9607872e-06,2.5111106e-06,2.0699135e-06,6.964051e-07,1.9149415e-06,1.2873118e-06,2.3767859e-07,3.3165159e-06,3.2805184e-07,7.892083e-06,4.697757e-06,1.1401024e-06,3.0950335e-07,9.129352e-06,1.263609e-06,7.9279334e-07,2.1164535e-06,1.0211546e-05,3.4875256e-06,1.7535052e-05,2.9038695e-06,7.652154e-07,1.6679766e-06,1.4940165e-05,3.381051e-06,6.1411397e-06,2.544331e-06,3.4417246e-06,3.302269e-08,1.828839e-07,1.3696085e-06,1.789122e-05,1.4215995e-05,4.341828e-06,6.862825e-06
16,8.167685e-05,5.217044e-05,0.00014255894,0.9711548,0.00015716157,8.895081e-05,0.00030993542,2.0283896e-05,0.00011930117,0.0001800305,0.0005619696,1.4220786e-05,0.00017187315,2.7254491e-05,8.9563555e-06,5.060657e-05,2.2208073e-05,0.00011148209,0.00013988375,0.0018216533,0.00034437582,0.000112697395,5.3386186e-05,0.00010237169,0.0017726838,0.00035646756,5.6723227e-05,6.320563e-05,0.00017178712,4.6472695e-05,3.6998863e-05,0.00012851632,0.00021580103,0.00018497226,2.7084361e-05,0.00013119038,0.0018448093,5.0369676e-05,3.6448982e-05,0.00019651811,0.00046253367,9.195015e-05,0.0010300949,0.0010877127,0.00012904429,0.00023673524,0.00014960037,1.0400201e-05,1.7728089e-05,0.00019322302,2.7365495e-05,0.0008024005,0.0006147957,0.0003460869,5.5457396e-05,0.002133938,2.3138e-05,0.0001856578,8.434272e-05,1.8855892e-05,0.0026416918,8.23003e-06,0.0006451126,0.00010180448,4.6989837e-05,0.0006352031,9.94146e-05,0.00014608543,9.7936725e-05,3.410423e-05,0.0002558896,1.313007e-05,0.00017084622,5.017761e-05,0.00024350414,2.4449391e-05,0.00024278229,6.2104125e-05,2.6225616e-05,0.0005241013,0.00016772095,6.560516e-05,2.9057888e-05,5.415759e-05,0.00015860373,1.38240275e-05,0.00010948568,7.388659e-06,0.00025507776,0.00019831819,4.634386e-05,6.660996e-05,0.00049418036,0.002364037,0.00036530814,3.366726e-05,6.620085e-05,0.00049352355,7.0262344e-05
19,4.051004e-06,1.9050636e-05,9.160265e-06,0.98934084,3.2300824e-05,8.284556e-06,4.761685e-05,9.895204e-06,3.233084e-05,4.0222744e-06,0.0001617688,6.7278047e-06,3.6422496e-06,6.932391e-06,5.914176e-06,5.3931362e-06,3.4272166e-06,3.4675977e-05,8.237378e-05,0.00014586245,9.002133e-05,6.8686036e-06,1.2545854e-05,4.1779967e-05,0.00015100572,7.3830226e-05,2.0512573e-05,8.939214e-06,4.8580976e-05,1.8870107e-05,1.7971293e-05,0.00011518373,1.9041736e-05,2.0367252e-05,3.5566488e-06,4.900306e-05,1.3031946e-05,2.7927468e-05,4.0949682e-05,0.00012442222,1.8016683e-05,3.9490027e-05,3.0769796e-05,0.00019231308,2.086041e-05,1.4805004e-05,6.137686e-05,6.32897e-06,9.10443e-06,4.153449e-05,5.2956955e-05,0.0041531743,4.0399987e-05,0.00013615181,1.8404928e-05,0.00025629165,6.962106e-06,4.3774093e-05,1.1325504e-05,1.9809272e-06,0.0020868808,6.551312e-06,0.00021486035,2.7461447e-05,3.8575756e-05,0.00040386026,3.2564472e-05,1.9142897e-05,0.00017394578,5.8489986e-06,5.8549063e-05,2.5340626e-06,4.6876026e-05,2.6797445e-06,0.00014022276,1.1693776e-05,2.8988283e-05,7.552712e-06,5.007434e-06,3.707216e-05,3.3486536e-05,3.624408e-06,2.072456e-05,1.8229981e-05,8.487342e-05,3.566754e-06,4.1087633e-06,7.893366e-06,6.3479296e-05,2.9454726e-05,3.5287572e-05,5.054764e-05,5.0691837e-05,0.00011391793,4.2424188e-05,1.8847383e-06,7.1953864e-06,2.5544601e-05,2.7310412e-05
23,0.0002548324,0.0004399978,0.00018510885,0.0007816444,0.00096227514,0.047790583,0.0026852416,0.00014048255,4.7233127e-05,0.0001772262,0.00066098844,5.633647e-05,6.366899e-05,5.9067486e-05,2.4325172e-05,6.606645e-05,0.00010508349,2.3760434e-05,2.1818236e-05,6.3544576e-05,5.708541e-05,0.00011234798,3.736608e-05,0.00014272858,1.9309728e-05,3.0477158e-05,4.4024222e-05,0.00023199391,0.9193928,6.637412e-05,0.00045424778,0.00018415239,0.00036851663,5.2602787e-05,5.7129688e-05,0.00037068722,7.2397015e-05,6.8684676e-05,3.920797e-05,8.794292e-05,4.706464e-05,7.624948e-05,0.0013968599,0.00021243286,2.421643e-05,0.0003468771,0.00018334595,0.0002082682,0.00027031373,0.00022575459,0.0008849783,4.3384e-05,1.3780878e-05,0.00011076284,6.185439e-05,0.0011800334,5.7637644e-05,0.00024400323,0.0005619299,1.2994413e-05,4.607561e-05,4.001061e-05,0.00012882221,0.00024841627,0.0020341226,0.00012459068,0.00010236622,3.4637924e-05,5.090464e-05,0.0005491804,0.0009382793,0.0019448356,1.00167135e-05,0.00010927308,5.2465763e-05,4.0949242e-05,0.0034347563,7.819627e-05,8.208372e-06,0.00015478596,0.0010602889,0.0039376444,0.00043024815,4.0764862e-05,0.00020964081,0.00012459472,0.00013188897,3.560566e-05,1.0426965e-05,9.622949e-05,0.00043660222,3.4678975e-05,0.00026945383,0.00012252123,0.00010714954,2.5285952e-05,9.256912e-05,3.1204487e-05,1.0171757e-05
24,2.4031266e-07,2.449816e-05,1.148639e-06,1.9325776e-06,8.20417e-07,8.5386137e-07,1.7698038e-06,2.7025278e-06,8.3019864e-07,4.7368613e-07,3.0696472e-05,9.763704e-07,1.6830749e-06,3.0800325e-06,9.920554e-07,3.4570241e-06,3.7694542e-06,3.9447973e-06,7.114195e-07,1.1919785e-06,3.2200354e-05,3.1416912e-06,3.5365385e-06,4.4089265e-06,3.6617735e-07,2.457251e-06,2.3479843e-07,1.1724644e-07,7.1237578e-06,2.631045e-07,2.209518e-06,7.256077e-06,2.3693445e-07,1.735216e-07,5.045624e-07,2.8870375e-07,4.3588267e-07,9.118058e-06,1.3406639e-05,5.684383e-06,1.913479e-06,2.708639e-07,1.5547191e-06,3.9138953e-07,1.3149781e-06,2.4601304e-06,3.1724448e-07,1.6878971e-06,3.6306467e-06,3.4936872e-06,1.4869276e-07,1.6598598e-06,6.282699e-07,3.9620483e-07,2.9964222e-06,1.979521e-06,1.573612e-07,8.081584e-07,5.027151e-07,6.641247e-07,2.1550047e-06,3.2376116e-07,6.601018e-07,2.24249e-06,1.2258336e-06,8.2997616e-07,2.2314564e-06,8.9784373e-07,1.3257039e-06,1.1437145e-06,1.3856511e-06,1.8480026e-06,9.321271e-06,2.0527773e-06,1.8814577e-06,1.3106381e-07,1.2103708e-06,8.973352e-07,1.8830564e-05,2.3496308e-07,3.9736614e-07,3.3303073e-07,2.4346352e-07,4.8548686e-06,0.9997067,2.2391287e-06,1.4603053e-07,3.7559153e-06,1.4844744e-06,1.413505e-06,4.237204e-07,3.2115968e-06,7.5980654e-07,5.469267e-06,7.957155e-07,5.229807e-06,4.6137455e-07,2.8916131e-06,2.3953482e-06
28,0.0005221158,0.0015631339,0.00015216289,0.00014998122,8.682615e-05,4.6472294e-05,0.00022038812,0.0025731076,0.9682538,0.00027510946,0.00040404047,0.00011240372,0.00012131402,0.00088972825,0.00057540357,0.0004293851,0.0025606595,0.000915529,0.00018596862,0.00027753913,8.6468186e-05,0.00020522145,0.0006016438,0.00013742302,6.0489572e-05,6.1059305e-05,0.00030703354,0.00015100768,0.00017919528,0.0002991972,0.00023089121,0.0002654393,0.0004172911,0.00012189714,0.00019764566,4.1648636e-05,5.3903357e-05,0.0001379764,0.0003614613,0.00018793678,0.0006512089,6.828425e-05,0.00027287536,3.729193e-05,0.0010047148,6.8987116e-05,0.00018105497,0.0014017181,9.281682e-05,0.00056790566,9.697544e-05,0.00017742424,3.284257e-05,2.8170856e-05,4.3365384e-05,6.92813e-05,4.293634e-05,3.3207027e-05,4.706837e-05,0.00038074315,3.566823e-05,0.00028876957,8.838029e-05,0.0002802296,1.980565e-05,0.00014184277,9.642057e-05,0.0005456303,2.6492706e-05,0.00025532747,0.0001315325,7.371672e-05,0.0006567669,0.00022243292,0.00014167526,0.00013123293,6.573945e-05,0.0011743903,0.0005322476,2.7652657e-05,0.00018662687,0.0001489319,0.00010838799,0.00029919177,0.0007670065,8.7885666e-05,0.00012067213,0.00025818375,0.00023525569,0.0008127297,0.00010928091,7.264033e-05,3.959459e-05,0.00016496817,6.431373e-05,0.00041812743,1.2565309e-05,0.0013197536,0.00011915926
